t,s,ds,e,de,i,di,r,dr,d,dd
85,33057420,-129500,825585,-26198,1591700,-77198,26756298,224556,953825,8341
86,32930860,-126560,801762,-23823,1520712,-70988,26969715,213417,961779,7954
87,32807011,-123849,780064,-21698,1455488,-65224,27172885,203170,969379,7600
88,32685669,-121342,760271,-19793,1395598,-59890,27366636,193751,976653,7274
89,32566643,-119026,742187,-18084,1340633,-54965,27551736,185100,983627,6974
90,32449765,-116878,725641,-16546,1290203,-50430,27728892,177156,990327,6700
91,32334878,-114887,710477,-15164,1243943,-46260,27898755,169863,996775,6448
92,31844992,-489886,1073409,362932,1201511,-42432,28061924,163169,1002992,6217
93,31240858,-604134,1478101,404692,1237922,36411,28218950,157026,1008996,6004
94,30498073,-742785,1940646,462545,1349831,111909,28381094,162144,1015183,6187
95,29608131,-889942,2458027,517381,1537609,187778,28559132,178038,1021928,6745
96,28584008,-1024123,3006349,548322,1800967,263358,28763890,204758,1029613,7685
97,27458962,-1125046,3546223,539874,2134883,333916,29006146,242256,1038613,9000
98,26283103,-1175859,4029282,483059,2527205,392322,29295954,289808,1049282,10669
99,25115467,-1167636,4407901,378619,2957917,430712,29641631,345677,1061912,12630
