t,s,ds,e,de,i,di,r,dr,d,dd
82,5299996,-13015,340717,-32928,983274,-83492,54610062,124104,1950778,5331
83,5289695,-10301,311681,-29036,905580,-77694,54722179,112117,1955692,4914
84,5281126,-8569,286736,-24945,833603,-71977,54823144,100965,1960218,4526
85,5273531,-7595,265821,-20915,767312,-66291,54913779,90635,1964384,4166
86,5266558,-6973,248479,-17342,706670,-60642,54994901,81122,1968218,3834
87,5260269,-6289,233932,-14547,651554,-55116,55067322,72421,1971750,3532
88,5254835,-5434,221449,-12483,601702,-49852,55131835,64513,1975006,3256
89,5250608,-4227,210262,-11187,556748,-44954,55189196,57361,1978013,3007
90,5248279,-2329,199422,-10840,516223,-40525,55240108,50912,1980795,2782
91,5247933,-346,188772,-10650,479540,-36683,55285207,45099,1983375,2580
92,5249307,1374,178536,-10236,446168,-33372,55325044,39837,1985772,2397
93,5252180,2873,168852,-9684,415698,-30470,55360095,35051,1988002,2230
94,5256535,4355,159626,-9226,387811,-27887,55390777,30682,1990079,2077
95,5262251,5716,150885,-8741,362214,-25597,55417460,26683,1992017,1938
96,5269154,6903,142706,-8179,338666,-23548,55440474,23014,1993827,1810
97,5277025,7871,135194,-7512,316974,-21692,55460114,19640,1995520,1693
98,5285602,8577,128478,-6716,296998,-19976,55476645,16531,1997104,1584
99,5294614,9012,122668,-5810,278641,-18357,55490315,13670,1998588,1484
