t,s,ds,e,de,i,di,r,dr
456,10237148,-58480,100241,-4162,21923831,-47213,30822978,109855
457,10176693,-60455,100551,310,21874356,-49475,30932597,109619
458,10113191,-63502,103723,3172,21825315,-49041,31041969,109372
459,10051014,-62177,103666,-57,21778422,-46893,31151096,109127
460,9988156,-62858,104325,659,21731729,-46693,31259988,108892
461,9926023,-62133,103863,-462,21685666,-46063,31368647,108659
462,9864244,-61779,103324,-539,21639555,-46111,31477075,108428
463,9797183,-67061,108391,5067,21593352,-46203,31585273,108198
464,9733592,-63591,106948,-1443,21550419,-42933,31693239,107966
465,9680521,-53071,95849,-11099,21506836,-43583,31800991,107752
466,9632553,-47968,86308,-9541,21456811,-50025,31908526,107535
467,9580574,-51979,86502,194,21401312,-55499,32015810,107284
468,9524040,-56534,91134,4632,21346207,-55105,32122816,107006
469,9469255,-54785,91239,105,21294156,-52051,32229547,106731
470,9416800,-52455,88951,-2288,21242429,-51727,32336018,106471
471,9361694,-55106,90686,1735,21189587,-52842,32442230,106212
472,9308852,-52842,89116,-1570,21138051,-51536,32548178,105948
473,9263546,-45306,80953,-8163,21085831,-52220,32653868,105690
474,9227550,-35996,68377,-12576,21028973,-56858,32759298,105430
475,9196300,-31250,58601,-9776,20964855,-64118,32864442,105144
476,9165877,-30423,53863,-4738,20895191,-69664,32969267,104825
477,9136281,-29596,51141,-2722,20823033,-72158,33073743,104476
478,9107240,-29041,49498,-1643,20749603,-73430,33177858,104115
479,9076466,-30774,50573,1075,20675553,-74050,33281606,103748
480,9042965,-33501,53731,3158,20602519,-73034,33384984,103378
481,9010035,-32930,54422,691,20531745,-70774,33487996,103012
482,8980164,-29871,51640,-2782,20461740,-70005,33590655,102659
483,8953641,-26523,47178,-4462,20390415,-71325,33692964,102309
484,8928545,-25096,43968,-3210,20316770,-73645,33794916,101952
485,8907132,-21413,39000,-4968,20241567,-75203,33896500,101584
486,8887967,-19165,34765,-4235,20163759,-77808,33997707,101207
487,8869144,-18823,32729,-2036,20083799,-79960,34098526,100819
488,8852659,-16485,29576,-3153,20003017,-80782,34198945,100419
489,8840228,-12431,24262,-5314,19920748,-82269,34298960,100015
490,8828658,-11570,21275,-2987,19835701,-85047,34398564,99604
491,8815804,-12854,21364,89,19749288,-86413,34497743,99179
492,8801254,-14550,23095,1731,19663360,-85928,34596489,98746
493,8786959,-14295,23533,438,19578900,-84460,34694806,98317
494,8773501,-13458,22871,-662,19495125,-83775,34792700,97894
495,8760626,-12875,22024,-847,19411372,-83753,34890176,97476
496,8745852,-14774,23584,1560,19327530,-83842,34987233,97057
497,8729968,-15884,25317,1733,19245042,-82488,35083870,96637
498,8712877,-17091,27218,1901,19164008,-81034,35180096,96226
499,8696582,-16295,27182,-36,19084519,-79489,35275916,95820
500,8682775,-13807,24680,-2502,19005405,-79114,35371338,95422
501,8670450,-12325,22196,-2484,18925186,-80219,35466365,95027
502,8658521,-11929,20807,-1389,18843878,-81308,35560991,94626
503,8646516,-12005,20328,-479,18762143,-81735,35655211,94220
504,8635686,-10830,18961,-1367,18680529,-81614,35749021,93810
505,8626570,-9116,16701,-2260,18598503,-82026,35842424,93403
506,8615845,-10725,17405,704,18515531,-82972,35935416,92992
507,8600372,-15473,22435,5030,18433397,-82134,36027994,92578
508,8579506,-20866,29841,7406,18354691,-78706,36120161,92167
509,8558353,-21153,33089,3248,18280821,-73870,36211935,91774
510,8543797,-14556,27792,-5297,18209271,-71550,36303339,91404
511,8532616,-11181,22297,-5495,18134899,-74372,36394385,91046
512,8521707,-10909,19828,-2469,18057603,-77296,36485060,90675
513,8510822,-10885,18816,-1012,17979212,-78391,36575348,90288
514,8496890,-13932,21458,2642,17900606,-78606,36665244,89896
515,8479187,-17703,26286,4828,17823978,-76628,36754747,89503
516,8458889,-20298,30813,4527,17750630,-73348,36843866,89119
517,8436935,-21954,34279,3466,17680364,-70266,36932620,88754
518,8413052,-23883,37595,3316,17612530,-67834,37021021,88401
519,8387694,-25358,40396,2801,17547024,-65506,37109084,88063
520,8360660,-27034,43193,2797,17483526,-63498,37196819,87735
521,8333735,-26925,44202,1009,17422024,-61502,37284237,87418
522,8304316,-29419,47100,2898,17361435,-60589,37371347,87110
523,8270713,-33603,52443,5343,17302888,-58547,37458154,86807
524,8232773,-37940,58916,6473,17247839,-55049,37544669,86515
525,8193330,-39443,63010,4094,17196950,-50889,37630908,86239
526,8155842,-37488,62692,-318,17148771,-48179,37716893,85985
527,8114403,-41439,66516,3824,17100643,-48128,37802636,85743
528,8067622,-46781,73387,6871,17055049,-45594,37888140,85504
529,8022170,-45452,74807,1420,17013806,-41243,37973415,85275
530,7981717,-40453,70375,-4432,16973622,-40184,38058484,85069
531,7947513,-34204,62355,-8020,16930979,-42643,38143352,84868
532,7919097,-28416,53357,-8998,16883737,-47242,38228007,84655
533,7898556,-20541,41884,-11473,16831332,-52405,38312426,84419
534,7881195,-17361,34115,-7769,16772306,-59026,38396582,84156
535,7861228,-19967,33613,-502,16708913,-63393,38480444,83862
536,7836383,-24845,38290,4677,16645536,-63377,38563988,83544
537,7807050,-29333,44649,6359,16585283,-60253,38647216,83228
538,7777619,-29431,47291,2642,16529146,-56137,38730142,82926
539,7754403,-23216,42133,-5158,16474874,-54272,38812788,82646
540,7736476,-17927,34780,-7353,16417780,-57094,38895163,82375
541,7723425,-13051,26963,-7817,16356559,-61221,38977251,82088
542,7712032,-11393,22178,-4785,16290954,-65605,39059034,81783
543,7701579,-10453,19325,-2853,16222805,-68149,39140489,81455
544,7691996,-9583,17312,-2013,16153286,-69519,39221603,81114
545,7682634,-9362,16287,-1025,16082907,-70379,39302369,80766
546,7675159,-7475,13990,-2297,16012265,-70642,39382784,80415
547,7670272,-4887,10484,-3506,15940598,-71667,39462845,80061
548,7666952,-3320,7513,-2971,15867185,-73413,39542548,79703
549,7664351,-2601,5605,-1908,15792357,-74828,39621884,79336
550,7662422,-1929,4171,-1434,15716758,-75599,39700846,78962
551,7661463,-959,2628,-1543,15640677,-76081,39779430,78584
552,7661310,-153,1205,-1423,15564050,-76627,39857633,78203
553,7661306,-4,485,-720,15486953,-77097,39935453,77820
554,7661306,0,194,-291,15409810,-77143,40012888,77435
555,7661306,0,78,-116,15332877,-76933,40089937,77049
556,7661306,0,31,-47,15256259,-76618,40166602,76665
557,7661306,0,12,-19,15179997,-76262,40242883,76281
558,7661306,0,5,-7,15104104,-75893,40318783,75900
559,7661306,0,2,-3,15028587,-75517,40394303,75520
560,7661306,0,1,-1,14953445,-75142,40469446,75143
561,7661306,0,0,-1,14878678,-74767,40544214,74768
562,7661306,0,0,0,14804285,-74393,40618607,74393
563,7661306,0,0,0,14730264,-74021,40692628,74021
564,7661306,0,0,0,14656612,-73652,40766280,73652
565,7661306,0,0,0,14583329,-73283,40839563,73283
566,7661306,0,0,0,14510413,-72916,40912479,72916
567,7661306,0,0,0,14437861,-72552,40985031,72552
568,7661306,0,0,0,14365671,-72190,41057221,72190
569,7661306,0,0,0,14293843,-71828,41129049,71828
570,7661306,0,0,0,14222374,-71469,41200518,71469
571,7661306,0,0,0,14151262,-71112,41271630,71112
572,7661306,0,0,0,14080505,-70757,41342387,70757
573,7661306,0,0,0,14010103,-70402,41412789,70402
574,7661306,0,0,0,13940052,-70051,41482840,70051
575,7661306,0,0,0,13870352,-69700,41552540,69700
576,7661306,0,0,0,13801000,-69352,41621892,69352
577,7661306,0,0,0,13731995,-69005,41690897,69005
578,7661306,0,0,0,13663335,-68660,41759557,68660
579,7661306,0,0,0,13595019,-68316,41827873,68316
580,7661306,0,0,0,13527044,-67975,41895848,67975
581,7661306,0,0,0,13459408,-67636,41963484,67636
582,7661306,0,0,0,13392111,-67297,42030781,67297
583,7661306,0,0,0,13325151,-66960,42097741,66960
584,7661306,0,0,0,13258525,-66626,42164367,66626
585,7661306,0,0,0,13192232,-66293,42230660,66293
586,7661306,0,0,0,13126271,-65961,42296621,65961
587,7661306,0,0,0,13060640,-65631,42362252,65631
588,7661306,0,0,0,12995337,-65303,42427555,65303
589,7661306,0,0,0,12930360,-64977,42492532,64977
590,7661306,0,0,0,12865708,-64652,42557184,64652
591,7661306,0,0,0,12801380,-64328,42621512,64328
592,7661306,0,0,0,12737373,-64007,42685519,64007
593,7661306,0,0,0,12673686,-63687,42749206,63687
594,7661306,0,0,0,12610318,-63368,42812574,63368
595,7661306,0,0,0,12547266,-63052,42875626,63052
596,7661306,0,0,0,12484530,-62736,42938362,62736
597,7661306,0,0,0,12422107,-62423,43000785,62423
598,7661306,0,0,0,12359996,-62111,43062896,62111
599,7661306,0,0,0,12298196,-61800,43124696,61800
