t,s,ds,e,de,i,di,r,dr
97,59751139,-20447,37451,-5059,2648831,12324,646777,13183
98,59730009,-21130,36110,-1341,2658057,9226,660021,13244
99,59705985,-24024,38468,2358,2666433,8376,673311,13290
100,59679877,-26108,41496,3028,2676182,9749,686644,13333
101,59653970,-25907,42505,1009,2687698,11516,700025,13381
102,59628655,-25315,42317,-188,2699763,12065,713463,13438
103,59605180,-23475,40402,-1915,2711655,11892,726962,13499
104,59585647,-19533,35693,-4709,2722337,10682,740520,13558
105,59566422,-19225,33502,-2191,2730142,7805,754132,13612
106,59544293,-22129,35531,2029,2736592,6450,767782,13650
107,59522170,-22123,36335,804,2744228,7636,781465,13683
108,59504630,-17540,32074,-4261,2752308,8080,795187,13722
109,59489224,-15406,28235,-3839,2757790,5482,808948,13761
110,59471087,-18137,29432,1197,2760942,3152,822737,13789
111,59449373,-21714,33486,4054,2764797,3855,836542,13805
112,59425290,-24083,37477,3991,2771065,6268,850366,13824
113,59400503,-24787,39778,2301,2779696,8631,864221,13855
114,59376984,-23519,39431,-347,2789664,9968,878120,13899
115,59356677,-20307,36079,-3352,2799374,9710,892068,13948
116,59338196,-18481,32913,-3166,2807025,7651,906065,13997
117,59318997,-19199,32364,-549,2812737,5712,920100,14035
118,59296705,-22292,35237,2873,2818092,5355,934164,14064
119,59269862,-26843,40938,5701,2825144,7052,948254,14090
120,59237739,-32123,48498,7560,2835581,10437,962380,14126
121,59205495,-32244,51643,3145,2850502,14921,976558,14178
122,59177516,-27979,48637,-3006,2867235,16733,990810,14252
123,59152106,-25410,44864,-3773,2882081,14846,1005146,14336
124,59126567,-25539,43485,-1379,2894589,12508,1019557,14411
125,59100573,-25994,43388,-97,2906207,11618,1034030,14473
126,59075290,-25283,42638,-750,2917709,11502,1048561,14531
127,59047836,-27454,44509,1871,2928703,10994,1063149,14588
128,59014185,-33651,51455,6946,2940765,12062,1077793,14644
129,58971818,-42367,62949,11494,2956934,16169,1092497,14704
130,58925259,-46559,71739,8790,2979919,22985,1107281,14784
131,58879743,-45516,74212,2473,3008063,28144,1122181,14900
132,58836191,-43552,73236,-976,3037549,29486,1137221,15040
133,58799993,-36198,65492,-7744,3066304,28755,1152409,15188
134,58767529,-32464,58661,-6831,3090267,23963,1167740,15331
135,58733520,-34009,57474,-1187,3110013,19746,1183192,15452
136,58695820,-37700,60690,3216,3128947,18934,1198742,15550
137,58651624,-44196,68471,7781,3149716,20769,1214387,15645
138,58602819,-48805,76194,7723,3175050,25334,1230135,15748
139,58554189,-48630,79108,2914,3204891,29841,1246010,15875
140,58503335,-50854,82497,3389,3236331,31440,1262035,16025
141,58450979,-52356,85355,2858,3269648,33317,1278217,16182
142,58395996,-54983,89125,3770,3304512,34864,1294565,16348
143,58339550,-56446,92096,2971,3341465,36953,1311087,16522
144,58282396,-57154,93993,1897,3380015,38550,1327795,16708
145,58220286,-62110,99707,5714,3419511,39496,1344695,16900
146,58148375,-71911,111793,12086,3462237,42726,1361792,17097
147,58064857,-83518,128235,16442,3512002,49765,1379103,17311
148,57973612,-91245,142539,14304,3571383,59381,1396663,17560
149,57876254,-97358,154374,11835,3639050,67667,1414520,17857
150,57772069,-104185,165934,11560,3713479,74429,1432716,18196
151,57666023,-106046,172420,6486,3794472,80993,1451283,18567
152,57570934,-95089,164057,-8363,3878952,84480,1470255,18972
153,57481168,-89766,155389,-8668,3957991,79039,1489650,19395
154,57388864,-92304,154460,-929,4031435,73444,1509440,19790
155,57295685,-93179,154962,502,4103953,72518,1529597,20157
156,57200199,-95486,157471,2509,4176411,72458,1550117,20520
157,57094793,-105406,168395,10924,4250011,73600,1570999,20882
158,56985796,-108997,176355,7960,4329798,79787,1592249,21250
159,56874215,-111581,182123,5768,4413962,84164,1613898,21649
160,56757886,-116329,189178,7055,4501166,87204,1635968,22070
161,56641662,-116224,191896,2718,4592167,91001,1658474,22506
162,56526864,-114798,191556,-340,4684343,92176,1681435,22961
163,56410349,-116515,193138,1582,4775855,91512,1704856,23421
164,56291662,-118687,195941,2803,4867859,92004,1728736,23880
165,56165230,-126432,204809,8868,4961084,93225,1753075,24339
166,56027801,-137429,219353,14544,5059164,98080,1777880,24805
167,55883430,-144371,232111,12758,5165480,106316,1803176,25296
168,55735032,-148398,241243,9132,5278920,113440,1829004,25828
169,55584145,-150887,247384,6141,5397271,118351,1855398,26394
170,55435038,-149107,248061,677,5518715,121444,1882385,26987
171,55289312,-145726,244950,-3111,5639958,121243,1909978,27593
172,55143309,-146003,243983,-967,5758728,118770,1938178,28200
173,55001836,-141473,239066,-4917,5876324,117596,1966972,28794
174,54858156,-143680,239306,240,5990383,114059,1996353,29381
175,54709659,-148497,244220,4914,6104014,113631,2026305,29952
176,54556261,-153398,251086,6866,6220026,116012,2056825,30520
177,54403027,-153234,253668,2582,6339578,119552,2087925,31100
178,54248059,-154968,256435,2767,6460081,120503,2119623,31698
179,54083299,-164760,267334,10899,6581641,121560,2151924,32301
180,53914298,-169001,275935,8601,6709133,127492,2184832,32908
181,53754269,-160029,270403,-5532,6841149,132016,2218377,33545
182,53601244,-153025,261186,-9217,6969185,128036,2252583,34206
183,53456533,-144711,249185,-12001,7091051,121866,2287429,34846
184,53316728,-139805,239479,-9706,7205106,114055,2322884,35455
185,53174429,-142299,238091,-1388,7312768,107662,2358910,36026
186,53020989,-153440,248676,10585,7419059,106291,2395474,36564
187,52866890,-154099,253569,4893,7531170,112111,2432569,37095
188,52714067,-152823,254251,682,7645655,114485,2470225,37656
189,52563328,-150739,252440,-1811,7759977,114322,2508453,38228
190,52414443,-148885,249861,-2579,7872641,112664,2547253,38800
191,52260279,-154164,254108,4247,7983195,110554,2586616,39363
192,52095334,-164945,266588,12480,8095743,112548,2626532,39916
193,51918383,-176951,283587,16999,8215217,119474,2667011,40479
194,51743879,-174504,287938,4351,8344294,129077,2708087,41076
195,51580072,-163807,278982,-8956,8475335,131041,2749808,41721
196,51418044,-162028,273621,-5361,8600348,125013,2792185,42377
197,51252275,-165769,275217,1596,8721518,121170,2835187,43002
198,51085313,-166962,277049,1832,8843041,121523,2878794,43607
199,50912599,-172714,283534,6485,8965056,122015,2923010,44216
200,50727891,-184708,298122,14588,9090351,125295,2967835,44825
201,50531908,-195983,315231,17109,9223772,133421,3013287,45452
202,50330197,-201711,327804,12573,9366792,143020,3059406,46119
203,50125091,-205106,336228,8424,9516640,149848,3106240,46834
204,49914174,-210917,345408,9180,9670793,154153,3153823,47583
205,49698604,-215570,353733,8325,9829684,158891,3202177,48354
206,49485733,-212871,354364,631,9992776,163092,3251325,49148
207,49279117,-206616,348362,-6002,10155430,162654,3301289,49964
208,49071336,-207781,347126,-1236,10313670,158240,3352066,50777
209,48856108,-215228,354078,6952,10470377,156707,3403635,51569
210,48637485,-218623,360254,6176,10630472,160095,3455986,52351
211,48423450,-214035,358137,-2117,10793472,163000,3509139,53153
212,48214246,-209204,352459,-5678,10954387,160915,3563106,53967
213,47996866,-217380,358363,5904,11111091,156704,3617878,54772
214,47778999,-217867,361213,2850,11270553,159462,3673434,55556
215,47560671,-218328,362813,1600,11430928,160375,3729786,56352
216,47329051,-231620,376745,13932,11591461,160533,3786941,57155
217,47095378,-233673,384371,7626,11759551,168090,3844898,57957
218,46865400,-229978,383726,-645,11931376,171825,3903696,58798
219,46630001,-235399,388890,5164,12101954,170578,3963353,59657
220,46384589,-245412,400968,12078,12274779,172825,4023863,60510
221,46129330,-255259,415646,14678,12453985,179206,4085237,61374
222,45873654,-255676,421935,6289,12641103,187118,4147506,62269
223,45624775,-248879,417653,-4282,12831058,189955,4210712,63206
224,45381471,-243304,410365,-7288,13017495,186437,4274867,64155
225,45146564,-234907,399053,-11312,13198626,181131,4339955,65088
226,44917481,-229083,388704,-10349,13372065,173439,4405948,65993
227,44694738,-222743,378225,-10479,13538427,166362,4472808,66860
228,44483624,-211114,362404,-15821,13697670,159243,4540500,67692
229,44280056,-203568,348529,-13875,13846624,148954,4608989,68489
230,44083440,-196616,336028,-12501,13986508,139884,4678222,69233
231,43888467,-194973,329385,-6643,14118192,131684,4748154,69932
232,43688522,-199945,331698,2313,14245232,127040,4818745,70591
233,43479075,-209447,342126,10428,14373025,127793,4889971,71226
234,43265975,-213100,349950,7824,14506436,133411,4961837,71866
235,43047632,-218343,358323,8373,14643874,137438,5034369,72532
236,42830114,-217518,360848,2525,14785648,141774,5107588,73219
237,42612597,-217517,361856,1008,14928229,142581,5181516,73928
238,42394071,-218526,363269,1413,15070701,142472,5256158,74642
239,42167867,-226204,371511,8242,15213309,142608,5331511,75353
240,41939903,-227964,376569,5058,15360149,146840,5407578,76067
241,41715459,-224444,375071,-1498,15509289,149140,5484378,76800
242,41487018,-228441,378470,3399,15656785,147496,5561925,77547
243,41247232,-239786,391173,12703,15805583,148798,5640209,78284
244,40994118,-253114,409584,18411,15961260,155677,5719237,79028
245,40731168,-262950,426784,17200,16127204,165944,5799043,79806
246,40480388,-250780,421493,-5291,16302638,175434,5879679,80636
247,40248687,-231701,400299,-21194,16474021,171383,5961192,81513
248,40014311,-234376,394495,-5804,16631830,157809,6043562,82370
249,39777426,-236885,394683,188,16785367,153537,6126721,83159
250,39541338,-236088,393962,-721,16938250,152883,6210648,83927
251,39309406,-231932,389516,-4446,17089936,151686,6295339,84691
252,39078888,-230518,386325,-3191,17238196,148260,6380789,85450
253,38825409,-253479,408009,21684,17383800,145604,6466980,86191
254,38549881,-275528,438732,30723,17541686,157886,6553899,86919
255,38272816,-277065,452557,13825,17717217,175531,6641608,87709
256,38009962,-262854,443877,-8680,17900165,182948,6730194,88586
257,37762102,-247860,425411,-18466,18076990,176825,6819694,89500
258,37519552,-242550,412715,-12696,18241852,164862,6910079,90385
259,37287898,-231654,396740,-15975,18398272,156420,7001289,91210
260,37062751,-225147,383843,-12897,18544324,146052,7093280,91991
261,36834692,-228059,381596,-2247,18681909,137585,7186002,92722
262,36600852,-233840,386478,4882,18817456,135547,7279411,93409
263,36355120,-245732,400324,13846,18955256,137800,7373498,94087
264,36103847,-251273,411403,11079,19100674,145418,7468275,94777
265,35861275,-242572,407133,-4270,19252012,151338,7563778,95503
266,35640848,-220427,383280,-23853,19400032,148020,7660038,96260
267,35433139,-207709,361021,-22259,19533000,132968,7757038,97000
268,35232245,-200894,345302,-15719,19651947,118947,7854703,97665
269,35026692,-205553,343674,-1628,19760869,108922,7952963,98260
270,34821362,-205330,342799,-875,19868269,107400,8051767,98804
271,34627613,-193749,330869,-11930,19974607,106338,8151109,99342
272,34431484,-196129,328476,-2393,20073256,98649,8250982,99873
273,34221839,-209645,341036,12560,20169975,96719,8351348,100366
274,33995568,-226271,362685,21649,20273747,103772,8452198,100850
275,33763937,-231631,376705,14020,20389989,116242,8553567,101369
276,33536744,-227193,377875,1170,20514062,124073,8655517,101950
277,33305561,-231183,382333,4458,20638217,124155,8758087,102570
278,33064958,-240603,393536,11203,20764426,126209,8861278,103191
279,32819103,-245855,403269,9733,20896726,132300,8965100,103822
280,32580238,-238865,400172,-3097,21034204,137478,9069584,104484
281,32347604,-232634,392703,-7469,21169136,134932,9174755,105171
282,32104605,-242999,400080,7377,21298912,129776,9280600,105845
283,31838087,-266518,426550,26470,21432466,133554,9387095,106495
284,31561592,-276495,447115,20565,21581233,148767,9494257,107162
285,31288500,-273092,451938,4823,21741596,160363,9602164,107907
286,31025837,-262663,443438,-8500,21904051,162455,9710872,108708
287,30778527,-247310,424685,-18753,22060594,156543,9820392,109520
288,30543014,-235513,405388,-19297,22205102,144508,9930695,110303
289,30317641,-225373,387528,-17860,22337309,132207,10041720,111025
290,30093896,-223745,378756,-8772,22458139,120830,10153407,111687
291,29854707,-239189,390692,11936,22573102,114963,10265697,112290
292,29610091,-244616,400893,10201,22694651,121549,10378563,112866
293,29366004,-244087,404444,3551,22821714,127063,10492036,113473
294,29125298,-240706,402484,-1960,22950272,128558,10606145,114109
295,28877944,-247354,408347,5863,23077011,126739,10720896,114751
296,28620634,-257310,420649,12302,23206634,129623,10836281,115385
297,28360884,-259750,428010,7361,23342990,136356,10952314,116033
298,28107113,-253771,424975,-3035,23483081,140091,11069029,116715
299,27854676,-252437,422427,-2548,23620650,137569,11186445,117416
300,27599334,-255342,424312,1885,23756003,135353,11304548,118103
301,27348869,-250465,420190,-4122,23891811,135808,11423328,118780
302,27107521,-241348,409424,-10766,24024466,132655,11542787,119459
303,26870357,-237164,400934,-8490,24149998,125532,11662909,120122
304,26635643,-234714,395088,-5846,24269808,119810,11783659,120750
305,26404002,-231641,389675,-5413,24385512,115704,11905008,121349
306,26172856,-231146,387017,-2658,24497389,111877,12026936,121928
307,25937014,-235842,390648,3631,24607113,109724,12149423,122487
308,25700971,-236043,392303,1655,24718466,111353,12272459,123036
309,25477034,-223937,380858,-11445,24830255,111789,12396051,123592
310,25263074,-213960,366304,-14554,24934619,104364,12520202,124151
311,25053124,-209950,356471,-9833,25029728,95109,12644875,124673
312,24849381,-203743,346331,-10140,25118462,88734,12770024,125149
313,24656977,-192404,330937,-15394,25200668,82206,12895616,125592
314,24467845,-189132,321507,-9430,25273227,72559,13021619,126003
315,24273463,-194382,322984,1477,25339765,66538,13147986,126367
316,24080286,-193177,322371,-613,25406857,67092,13274684,126698
317,23885835,-194451,323399,1028,25473245,66388,13401719,127035
318,23695898,-189937,319297,-4102,25539918,66673,13529085,127366
319,23513878,-182020,309739,-9558,25603797,63879,13656785,127700
320,23332700,-181178,305073,-4666,25661621,57824,13784804,128019
321,23144049,-188651,310680,5607,25716357,54736,13913112,128308
322,22952513,-191536,315808,5128,25774183,57826,14041693,128581
323,22770800,-181713,308037,-7771,25834797,60614,14170564,128871
324,22597449,-173351,296565,-11472,25890445,55648,14299738,129174
325,22431349,-166100,284726,-11839,25938932,48487,14429191,129453
326,22262479,-168870,282761,-1965,25980073,41141,14558885,129694
327,22089317,-173162,286266,3505,26019829,39756,14688786,129901
328,21919996,-169321,283827,-2439,26061490,41661,14818885,130099
329,21759420,-160576,274107,-9720,26101479,39989,14949192,130307
330,21615444,-143976,253619,-20488,26135435,33956,15079700,130508
331,21487430,-128014,229461,-24158,26156930,21495,15210377,130677
332,21365310,-122120,213905,-15556,26163822,6892,15341161,130784
333,21244905,-120405,205967,-7938,26161346,-2476,15471981,130820
334,21120675,-124230,206617,650,26154119,-7227,15602787,130806
335,20993126,-127549,210195,3578,26147319,-6800,15733558,130771
336,20866885,-126241,210319,124,26142699,-4620,15864294,130736
337,20742573,-124312,208439,-1880,26138177,-4522,15995008,130714
338,20613981,-128592,211968,3529,26132550,-5627,16125699,130691
339,20480195,-133786,218573,6605,26129068,-3482,16256362,130663
340,20344200,-135995,223424,4851,26129566,498,16387007,130645
341,20206461,-137739,227109,3685,26132973,3407,16517655,130648
342,20071772,-134689,225532,-1577,26138574,5601,16648320,130665
343,19944178,-127594,217807,-7725,26143201,4627,16779012,130692
344,19816539,-127639,214762,-3045,26143169,-32,16909728,130716
345,19680868,-135671,221575,6813,26141310,-1859,17040444,130716
346,19538626,-142242,230873,9298,26143549,2239,17171151,130707
347,19399796,-138830,231179,306,26151354,7805,17301869,130718
348,19263801,-135995,228467,-2712,26159305,7951,17432625,130756
349,19112985,-150816,242202,13735,26165589,6284,17563422,130797
350,18952322,-160663,257544,15342,26180082,14493,17694250,130828
351,18795931,-156391,259408,1864,26203708,23626,17825150,130900
352,18644079,-151852,255615,-3793,26228335,24627,17956169,131019
353,18489085,-154994,257240,1625,26250562,22227,18087310,131141
354,18334483,-154602,257498,258,26273654,23092,18218563,131253
355,18187628,-146855,249855,-7643,26296784,23130,18349932,131369
356,18050407,-137221,237162,-12693,26315213,18429,18481415,131483
357,17919270,-131137,226002,-11160,26325934,10721,18612992,131577
358,17790604,-128666,219067,-6935,26329906,3972,18744621,131629
359,17657008,-133596,221222,2155,26329697,-209,18876271,131650
360,17516168,-140840,229329,8107,26330782,1085,19007919,131648
361,17381750,-134418,226150,-3179,26336725,5943,19139573,131654
362,17264209,-117541,208001,-18149,26340732,4007,19271257,131684
363,17162682,-101527,184727,-23274,26333828,-6904,19402960,131703
364,17070817,-91865,165755,-18972,26312996,-20832,19534630,131670
365,16980318,-90499,156801,-8954,26280884,-32112,19666195,131565
366,16889011,-91307,154028,-2773,26243560,-37324,19797599,131404
367,16800593,-88418,150029,-3999,26204759,-38801,19928817,131218
368,16716508,-84085,144097,-5932,26163753,-41006,20059841,131024
369,16633998,-82510,140149,-3948,26119392,-44361,20190659,130818
370,16544616,-89382,145441,5292,26072884,-46508,20321256,130597
371,16447811,-96805,154982,9541,26029785,-43099,20451621,130365
372,16346132,-101679,163672,8690,25992625,-37160,20581770,130149
373,16238305,-107827,173295,9623,25960865,-31760,20711733,129963
374,16126234,-112071,181390,8095,25935038,-25827,20841537,129804
375,16009293,-116941,189497,8107,25914196,-20842,20971212,129675
376,15894467,-114826,190625,1128,25898323,-15873,21100783,129571
377,15787881,-106586,182836,-7789,25883207,-15116,21230275,129492
378,15697498,-90383,163517,-19319,25863492,-19715,21359691,129416
379,15612190,-85308,150715,-12802,25832285,-31207,21489008,129317
380,15522442,-89748,150034,-681,25793552,-38733,21618170,129162
381,15432969,-89473,149486,-548,25754605,-38947,21747138,128968
382,15337307,-95662,155456,5970,25715524,-39081,21875911,128773
383,15229997,-107310,169493,14037,25680220,-35304,22004488,128577
384,15117842,-112155,179952,10459,25653515,-26705,22132889,128401
385,15008438,-109404,181385,1433,25633219,-20296,22261157,128268
386,14913660,-94778,167332,-14053,25613883,-19336,22389323,128166
387,14829138,-84522,151455,-15877,25586213,-27670,22517392,128069
388,14737841,-91297,151879,424,25549154,-37059,22645323,127931
389,14631730,-106111,166863,14984,25512536,-36618,22773069,127746
390,14512638,-119092,185837,18974,25485091,-27445,22900632,127563
391,14392179,-120459,194794,8957,25469168,-15923,23028057,127425
392,14269193,-122986,200904,6110,25458698,-10470,23155403,127346
393,14139965,-129228,209590,8686,25451947,-6751,23282697,127294
394,14006426,-133539,217375,7785,25450441,-1506,23409956,127259
395,13871558,-134868,221817,4442,25453614,3173,23537209,127253
396,13745746,-125812,214539,-7278,25459436,5822,23664477,127268
397,13628783,-116963,202778,-11761,25460863,1427,23791774,127297
398,13526578,-102205,183317,-19461,25455225,-5638,23919078,127304
399,13430654,-95924,169251,-14066,25437939,-17286,24046354,127276
400,13332839,-97815,165515,-3736,25412300,-25639,24173544,127190
401,13240432,-92407,158613,-6902,25384548,-27752,24300605,127061
402,13150392,-90040,153485,-5128,25352793,-31755,24427528,126923
403,13060716,-89676,151070,-2415,25318120,-34673,24554292,126764
404,12969725,-90991,151419,349,25282171,-35949,24680883,126591
405,12879931,-89794,150362,-1057,25246612,-35559,24807294,126411
406,12794318,-85613,145758,-4604,25210596,-36016,24933527,126233
407,12719149,-75169,133471,-12287,25171998,-38598,25059580,126053
408,12645321,-73828,127217,-6254,25126220,-45778,25185440,125860
409,12561928,-83393,134280,7063,25076919,-49301,25311071,125631
410,12470900,-91028,144740,10460,25032103,-44816,25436455,125384
411,12379690,-91210,149106,4366,24993786,-38317,25561616,125161
412,12292248,-87442,147085,-2021,24958281,-35505,25686585,124969
413,12210784,-81464,140297,-6788,24921740,-36541,25811376,124791
414,12142500,-68284,124404,-15893,24881310,-40430,25935985,124609
415,12080730,-61770,111532,-12872,24831545,-49765,26060391,124406
416,12024489,-56241,100854,-10678,24774307,-57238,26184549,124158
417,11976664,-47825,88166,-12688,24710947,-63360,26308421,123872
418,11932315,-44349,79616,-8550,24640292,-70655,26431975,123554
419,11893719,-38596,70443,-9173,24564860,-75432,26555177,123202
420,11862535,-31184,59361,-11082,24484301,-80559,26678001,122824
421,11839017,-23518,47262,-12099,24397496,-86805,26800423,122422
422,11822671,-16346,35251,-12011,24303866,-93630,26922410,121987
423,11807570,-15101,29201,-6050,24203497,-100369,27043930,121520
424,11788401,-19169,30849,1648,24100000,-103497,27164947,121017
425,11763656,-24745,37085,6236,23998010,-101990,27285447,120500
426,11734477,-29179,44013,6928,23900271,-97739,27405437,119990
427,11702878,-31599,49205,5192,23807177,-93094,27524938,119501
428,11670669,-32209,51890,2685,23717664,-89513,27643974,119036
429,11638578,-32091,52848,958,23630210,-87454,27762563,118589
430,11606575,-32003,53142,294,23543768,-86442,27880714,118151
431,11573548,-33027,54284,1142,23457934,-85834,27998433,117719
432,11541187,-32361,54074,-210,23373215,-84719,28115722,117289
433,11512886,-28301,49930,-4144,23288793,-84422,28232588,116866
434,11485511,-27375,47348,-2582,23202307,-86486,28349032,116444
435,11455473,-30038,48977,1629,23114704,-87603,28465044,116012
436,11423233,-32240,51831,2854,23028517,-86187,28580617,115573
437,11391525,-31708,52440,609,22944473,-84044,28695760,115143
438,11358052,-33473,54449,2009,22861214,-83259,28810482,114722
439,11320947,-37105,58884,4435,22779578,-81636,28924788,114306
440,11276401,-44546,68101,9217,22701011,-78567,29038686,113898
441,11224906,-51495,78735,10634,22628366,-72645,29152191,113505
442,11168851,-56055,87549,8814,22562465,-65901,29265333,113142
443,11107151,-61700,96719,9170,22502182,-60283,29378145,112812
444,11041472,-65679,104367,7648,22447703,-54479,29490656,112511
445,10974783,-66689,108436,4069,22398084,-49619,29602895,112239
446,10907601,-67182,110557,2121,22351155,-46929,29714885,111990
447,10835671,-71930,116153,5596,22305733,-45422,29826641,111756
448,10758151,-77520,123981,7828,22263896,-41837,29938170,111529
449,10685318,-72833,122426,-1555,22226965,-36931,30049489,111319
450,10623824,-61494,110464,-11962,22189286,-37679,30160624,111135
451,10562036,-61788,105974,-4490,22144618,-44668,30271570,110946
452,10492082,-69954,112344,6370,22097479,-47139,30382294,110724
453,10420516,-71566,116503,4159,22054398,-43081,30492781,110487
454,10355306,-65210,111812,-4691,22014028,-40370,30603053,110272
455,10295628,-59678,104403,-7409,21971044,-42984,30713123,110070
